ONIMI,OKOOD,MNIMI,MKOOD,Country,NUTS3,NUTS3Name,LAU1Code,LAU1Name,LAU2Code,LAU2Name,NatLAU2,NatLAU1,Pos,Total,Ratio,RatioCorr
Sillamõe linn,0735,Ida-Viru maakond,0044,EE,EE007,Kirde-Eesti,EE0070044,Ida-Viru maakond,EE00700440735,Sillamõe linn,0735,0044,0,0,0,-9999
Sonda vald,0751,Ida-Viru maakond,0044,EE,EE007,Kirde-Eesti,EE0070044,Ida-Viru maakond,EE00700440751,Sonda vald,0751,0044,0,146,0,0
Toila vald,0802,Ida-Viru maakond,0044,EE,EE007,Kirde-Eesti,EE0070044,Ida-Viru maakond,EE00700440802,Toila vald,0802,0044,0,72,0,0
Tudulinna vald,0815,Ida-Viru maakond,0044,EE,EE007,Kirde-Eesti,EE0070044,Ida-Viru maakond,EE00700440815,Tudulinna vald,0815,0044,1,80,0.0125,0.0125
Vaivara vald,0851,Ida-Viru maakond,0044,EE,EE007,Kirde-Eesti,EE0070044,Ida-Viru maakond,EE00700440851,Vaivara vald,0851,0044,0,62,0,0
J§geva vald,0248,J§geva maakond,0049,EE,EE008,L§una-Eesti,EE0080049,Jogeva maakond,EE00800490248,J§geva vald,0248,0049,23,195,0.1179487179,0.1179487179
J§geva linn,0249,J§geva maakond,0049,EE,EE008,L§una-Eesti,EE0080049,Jogeva maakond,EE00800490249,Jogeva linn,0249,0049,0,0,0,-9999
Mustvee linn,0485,J§geva maakond,0049,EE,EE008,L§una-Eesti,EE0080049,Jogeva maakond,EE00800490485,Mustvee linn,0485,0049,0,6,0,0
Pajusi vald,0573,J§geva maakond,0049,EE,EE008,L§una-Eesti,EE0080049,Jogeva maakond,EE00800490573,Pajusi vald,0573,0049,2,39,0.0512820513,0.0512820513
Pala vald,0576,J§geva maakond,0049,EE,EE008,L§una-Eesti,EE0080049,Jogeva maakond,EE00800490576,Pala vald,0576,0049,2,42,0.0476190476,0.0476190476
Palamuse vald,0578,J§geva maakond,0049,EE,EE008,L§una-Eesti,EE0080049,Jogeva maakond,EE00800490578,Palamuse vald,0578,0049,7,240,0.0291666667,0.0291666667
Puurmani vald,0611,J§geva maakond,0049,EE,EE008,L§una-Eesti,EE0080049,Jogeva maakond,EE00800490611,Puurmani vald,0611,0049,2,112,0.0178571429,0.0178571429
P§ltsamaa vald,0616,J§geva maakond,0049,EE,EE008,L§una-Eesti,EE0080049,Jogeva maakond,EE00800490616,P§ltsamaa vald,0616,0049,2,61,0.0327868852,0.0327868852
P§ltsamaa linn,0617,J§geva maakond,0049,EE,EE008,L§una-Eesti,EE0080049,Jogeva maakond,EE00800490617,P§ltsamaa linn,0617,0049,0,2,0,0
Kasepõõ vald,0657,J§geva maakond,0049,EE,EE008,L§una-Eesti,EE0080049,Jogeva maakond,EE00800490657,Kasepõõ vald,0657,0049,0,0,0,-9999
Saare vald,0713,J§geva maakond,0049,EE,EE008,L§una-Eesti,EE0080049,Jogeva maakond,EE00800490713,Saare vald,0713,0049,10,190,0.0526315789,0.0526315789
Tabivere vald,0773,J§geva maakond,0049,EE,EE008,L§una-Eesti,EE0080049,Jogeva maakond,EE00800490773,Tabivere vald,0773,0049,2,115,0.0173913043,0.0173913043
Torma vald,0810,J§geva maakond,0049,EE,EE008,L§una-Eesti,EE0080049,Jogeva maakond,EE00800490810,Torma vald,0810,0049,2,168,0.0119047619,0.0119047619
Ahja vald,0117,P§lva maakond,0065,EE,EE008,L§una-Eesti,EE0080065,P§lva maakond,EE00800650117,Ahja vald,0117,0065,12,50,0.24,0.24
Kanepi vald,0285,P§lva maakond,0065,EE,EE008,L§una-Eesti,EE0080065,P§lva maakond,EE00800650285,Kanepi vald,0285,0065,7,26,0.2692307692,0.2692307692
K§lleste vald,0354,P§lva maakond,0065,EE,EE008,L§una-Eesti,EE0080065,P§lva maakond,EE00800650354,K§lleste vald,0354,0065,9,19,0.4736842105,0.4736842105
Laheda vald,0385,P§lva maakond,0065,EE,EE008,L§una-Eesti,EE0080065,P§lva maakond,EE00800650385,Laheda vald,0385,0065,0,26,0,0
Mikitamõe vald,0465,P§lva maakond,0065,EE,EE008,L§una-Eesti,EE0080065,P§lva maakond,EE00800650465,Mikitamõe vald,0465,0065,5,50,0.1,0.1
Mooste vald,0473,P§lva maakond,0065,EE,EE008,L§una-Eesti,EE0080065,P§lva maakond,EE00800650473,Mooste vald,0473,0065,36,166,0.2168674699,0.2168674699
Orava vald,0547,P§lva maakond,0065,EE,EE008,L§una-Eesti,EE0080065,P§lva maakond,EE00800650547,Orava vald,0547,0065,17,86,0.1976744186,0.1976744186
P§lva vald,0621,P§lva maakond,0065,EE,EE008,L§una-Eesti,EE0080065,P§lva maakond,EE00800650621,P§lva vald,0621,0065,9,55,0.1636363636,0.1636363636
Rõpina vald,0707,P§lva maakond,0065,EE,EE008,L§una-Eesti,EE0080065,P§lva maakond,EE00800650707,Rõpina vald,0707,0065,4,189,0.0211640212,0.0211640212
